日期	股票代號	股票名稱	外資買賣超	投信買賣超	自營商買賣超	買賣超合計	外資持股(張)	外資持股比率(%)	投信持股(張)	投信持股比率(%)	自營商持股(張)	自營商持股比率(%)	法人持股合計	法人持股比率(%)	外資持股市值(百萬)	投信持股市值(百萬)	自營商持股市值(百萬)	法人持股市值(百萬)	外資買賣超金額(千)	投信買賣超金額(千)	自營商買賣超金額(千)	法人買賣超金額(千)	RTIME
20001002	1201	味全	966		0		42411	8.38			0	0			375.34		0		8511		0		
20001003	1201	味全	220		0		42631	8.42			0	0			379.42		0		1945		0		
20001004	1201	味全	1386		0		44017	8.7			0	0			378.55		0		12169		0		
20001005	1201	味全	394		14		44411	8.78			14	0			368.62		0.12		3329		120		
20001006	1201	味全	433		0		44844	8.86			14	0			396.88		0.12		3689		0		
20001007	1201	味全	717		3		45561	9			17	0			405.5		0.15		6331		27		
20001009	1201	味全	-289		0		45272	8.95			17	0			430.09		0.16		-2719		0		
20001011	1201	味全	0		0		45272	8.95			17	0			416.51		0.16		0		0		
20001012	1201	味全	207		2		45479	8.99			19	0			400.22		0.17		1807		17		
20001013	1201	味全	448		0		45927	9.07			19	0			408.76		0.17		3839		0		
20001016	1201	味全	430		0		46357	9.16			19	0			412.58		0.17		3827		0		
20001017	1201	味全	181		0		46538	9.2			19	0			409.54		0.17		1593		0		
20001018	1201	味全	354		-3		46892	9.27			16	0			389.21		0.13		2998		-24		
20001019	1201	味全	1262		0		48154	9.51			16	0			392.46		0.13		10159		0		
20001020	1201	味全	12		0		48166	9.52			16	0			419.05		0.14		103		0		
20001021	1201	味全	236		12		48402	9.56			28	0.01			413.84		0.24		2020		103		
20001023	1201	味全	434		0		48836	9.65			28	0.01			410.23		0.24		3637		0		
20001024	1201	味全	108		0		48944	9.67			28	0.01			411.14		0.24		897		0		
20001025	1201	味全	-1		0		48943	9.67			28	0.01			406.23		0.23		-9		0		
20001026	1201	味全	-20		0		48923	9.67			28	0.01			401.18		0.23		-162		0		
20001027	1201	味全	212		0		49135	9.71			28	0.01			395.54		0.23		1703		0		
20001030	1201	味全	100		0		49235	9.73			28	0.01			384.04		0.22		780		0		
20001031	1201	味全	622		0		49857	9.85			28	0.01			381.41		0.21		4696		0		
20001101	1201	味全	939		0		50796	10.04			28	0.01			388.6		0.21		6996		0		
20001102	1201	味全	169		0		50965	10.07			28	0.01			394.99		0.22		1303		0		
20001103	1201	味全	457		0		51422	10.16			28	0.01			406.24		0.22		3537		0		
20001104	1201	味全	754		0		52176	10.31			28	0.01			401.76		0.22		5896		0		
20001106	1201	味全	182		0		52358	10.35			28	0.01			397.93		0.21		1382		0		
20001107	1201	味全	292		0		52650	10.4			28	0.01			397.51		0.21		2164		0		
20001108	1201	味全	1237		-8		53887	10.65			20	0			433.8		0.16		9500		-59		
20001109	1201	味全	1238		-20		55125	10.89			0	0			449.28		0		10003		-162		
20001110	1201	味全	372		0		55497	10.97			0	0			468.96		0		3087		0		
20001113	1201	味全	434		0		55931	11.05			0	0			458.64		0		3533		0		
20001114	1201	味全	491		0		56422	11.15			0	0			468.31		0		4085		0		
20001115	1201	味全	13107		0		69529	13.74			0	0			591		0		111279		0		
20001116	1201	味全	6651		0		76180	15.05			0	0			678.01		0		59393		0		
20001117	1201	味全	6016		0		82196	16.24			0	0			698.67		0		51076		0		
20001118	1201	味全	283		0		82479	16.3			0	0			701.08		0		2358		0		
20001120	1201	味全	427		0		82906	16.38			0	0			663.25		0		3433		0		
20001121	1201	味全	11095		0		94001	18.57			0	0			803.72		0		93753		0		
20001122	1201	味全	10189		0		104190	20.59			0	0			896.04		0		87830		0		
20001123	1201	味全	50		0		104240	20.6			0	0			891.26		0		428		0		
20001124	1201	味全	79		0		104319	20.61			0	0			907.58		0		678		0		
20001127	1201	味全	-116		0		104203	20.59			0	0			875.31		0		-992		0		
20001128	1201	味全	-63		0		104140	20.58			0	0			848.75		0		-514		0		
20001129	1201	味全	-363		0		103777	20.51			0	0			819.84		0		-2871		0		
20001130	1201	味全	-817		0		102960	20.34			0	0			787.65		0		-6316		0		
20001201	1201	味全	91		0		103051	20.36			0	0			814.11		0		698		0		
20001202	1201	味全	0		0		103051	20.36			0	0			819.26		0		0		0		
20001204	1201	味全	0		0		103051	20.36			0	0			793.5		0		0		0		
20001205	1201	味全	50		0		103101	20.37			0	0			768.11		0		372		0		
20001206	1201	味全	638		0		103739	20.5			0	0			778.05		0		4664		0		
20001207	1201	味全	-3		0		103736	20.5			0	0			762.47		0		-21		0		
20001208	1201	味全	0		0		103736	20.5			0	0			778.03		0		0		0		
20001211	1201	味全	-47		0		103689	20.49			0	0			772.49		0		-349		0		
20001212	1201	味全	100	0	0	100	103789	20.51	0	0	0	0	103789	20.51	783.61	0	0	783.61	752	0	0	752	206072654
20001213	1201	味全	51	0	0	51	103840	20.52	0	0	0	0	103840	20.52	789.19	0	0	789.19	384	0	0	384	205804365
20001214	1201	味全	-9	0	0	-9	103831	20.52	0	0	0	0	103831	20.52	783.93	0	0	783.93	-67	0	0	-67	205804370
20001215	1201	味全	70	0	0	70	103901	20.53	0	0	0	0	103901	20.53	784.46	0	0	784.46	524	0	0	524	205804374
20001216	1201	味全	64	0	0	64	103965	20.54	0	0	0	0	103965	20.54	758.95	0	0	758.95	469	0	0	469	205804379
20001218	1201	味全	47	0	0	47	104012	20.55	0	0	0	0	104012	20.55	733.29	0	0	733.29	332	0	0	332	205804387
20001219	1201	味全	370	0	0	370	104382	20.62	0	0	0	0	104382	20.62	735.9	0	0	735.9	2556	0	0	2556	205804391
20001220	1201	味全	190	0	0	190	104572	20.66	0	0	0	0	104572	20.66	732.01	0	0	732.01	1318	0	0	1318	205804396
20001221	1201	味全	385	0	0	385	104957	20.74	0	0	0	0	104957	20.74	724.21	0	0	724.21	2641	0	0	2641	205804400
20001222	1201	味全	143	0	0	143	105100	20.77	0	0	0	0	105100	20.77	725.2	0	0	725.2	980	0	0	980	205804404
20001226	1201	味全	120	0	0	120	105220	20.79	0	0	0	0	105220	20.79	704.98	0	0	704.98	819	0	0	819	205804418
20001227	1201	味全	466	0	0	466	105686	20.88	0	0	0	0	105686	20.88	697.53	0	0	697.53	3056	0	0	3056	205804423
20001228	1201	味全	246	0	0	246	105932	20.93	0	0	0	0	105932	20.93	741.53	0	0	741.53	1623	0	0	1623	205804427
20001229	1201	味全	393	0	0	393	106325	21.01	0	0	0	0	106325	21.01	765.55	0	0	765.55	2731	0	0	2731	205804432
20001230	1201	味全	879	0	0	879	107204	21.18	0	0	0	0	107204	21.18	809.4	0	0	809.4	6328	0	0	6328	205804436
20010102	1201	味全	0	0	0	0	107204	21.18	0	0	0	0	107204	21.18	809.4	0	0	809.4	0	0	0	0	205804445
20010103	1201	味全	0	0	0	0	107204	21.18	0	0	0	0	107204	21.18	793.32	0	0	793.32	0	0	0	0	205804448
20010104	1201	味全	-5	0	0	-5	107199	21.18	0	0	0	0	107199	21.18	809.36	0	0	809.36	-37	0	0	-37	205804451
20010105	1201	味全	0	0	0	0	107199	21.18	0	0	0	0	107199	21.18	787.92	0	0	787.92	0	0	0	0	205804454
20010108	1201	味全	0	0	0	0	107199	21.18	0	0	0	0	107199	21.18	836.16	0	0	836.16	0	0	0	0	205804459
20010109	1201	味全	0	0	0	0	107199	21.18	0	0	0	0	107199	21.18	825.44	0	0	825.44	0	0	0	0	205804462
20010110	1201	味全	0	0	0	0	107199	21.18	0	0	0	0	107199	21.18	820.08	0	0	820.08	0	0	0	0	205804465
20010111	1201	味全	0	0	0	0	107199	21.18	0	0	0	0	107199	21.18	873.68	0	0	873.68	0	0	0	0	205804468
20010112	1201	味全	0	0	0	0	107199	21.18	0	0	0	0	107199	21.18	820.08	0	0	820.08	0	0	0	0	205804471
20010115	1201	味全	0	0	0	0	107199	21.18	0	0	0	0	107199	21.18	814.72	0	0	814.72	0	0	0	0	205804477
20010116	1201	味全	0	0	0	0	107199	21.18	0	0	0	0	107199	21.18	841.52	0	0	841.52	0	0	0	0	205804480
20010117	1201	味全	0	0	0	0	107199	21.18	0	0	0	0	107199	21.18	814.72	0	0	814.72	0	0	0	0	205804483
20010118	1201	味全	-5	0	0	-5	107194	21.18	0	0	0	0	107194	21.18	809.32	0	0	809.32	-38	0	0	-38	205804486
20010129	1201	味全	330	0	0	330	107524	21.25	0	0	0	0	107524	21.25	865.57	0	0	865.57	2633	0	0	2633	205804506
20010130	1201	味全	45	0	0	45	107569	21.25	0	0	0	0	107569	21.25	892.83	0	0	892.83	375	0	0	375	205804509
20010131	1201	味全	0	0	0	0	107569	21.25	0	0	0	0	107569	21.25	871.32	0	0	871.32	0	0	0	0	205804516
20010201	1201	味全	0	0	0	0	107569	21.25	0	0	0	0	107569	21.25	860.56	0	0	860.56	0	0	0	0	205804520
20010202	1201	味全	0	0	0	0	107569	21.25	0	0	0	0	107569	21.25	898.21	0	0	898.21	0	0	0	0	205804523
20010205	1201	味全	0	0	0	0	107569	21.25	0	0	0	0	107569	21.25	941.24	0	0	941.24	0	0	0	0	205804530
20010206	1201	味全	0	-1	100	99	107569	21.25	0	0	100	0.02	107669	21.27	908.96	0	0.84	909.8	0	-8	868	860	205804533
20010207	1201	味全	0	0	-57	-57	107569	21.25	0	0	43	0.01	107612	21.26	860.56	0	0.34	860.9	0	0	-459	-459	205804537
20010208	1201	味全	0	0	-43	-43	107569	21.25	0	0	0	0	107569	21.25	876.69	0	0	876.69	0	0	-340	-340	205804540
20010209	1201	味全	0	0	0	0	107569	21.25	0	0	0	0	107569	21.25	887.45	0	0	887.45	0	0	0	0	205804544
20010212	1201	味全	0	0	0	0	107569	21.25	0	0	0	0	107569	21.25	876.69	0	0	876.69	0	0	0	0	205804550
20010213	1201	味全	0	0	0	0	107569	21.25	0	0	0	0	107569	21.25	871.32	0	0	871.32	0	0	0	0	205804553
20010214	1201	味全	0	0	0	0	107569	21.25	0	0	0	0	107569	21.25	860.56	0	0	860.56	0	0	0	0	205804557
20010215	1201	味全	0	0	0	0	107569	21.25	0	0	0	0	107569	21.25	892.83	0	0	892.83	0	0	0	0	205804560
20010216	1201	味全	0	0	0	0	107569	21.25	0	0	0	0	107569	21.25	871.32	0	0	871.32	0	0	0	0	205804563
20010219	1201	味全	3	0	0	3	107572	21.26	0	0	0	0	107572	21.26	930.5	0	0	930.5	25	0	0	25	205804570
20010220	1201	味全	-287	0	0	-287	107285	21.2	0	0	0	0	107285	21.2	987.03	0	0	987.03	-2631	0	0	-2631	205804573
20010221	1201	味全	0	0	0	0	107285	21.2	0	0	0	0	107285	21.2	1051.4	0	0	1051.4	0	0	0	0	205804577
20010222	1201	味全	-2	0	0	-2	107283	21.2	0	0	0	0	107283	21.2	981.64	0	0	981.64	-21	0	0	-21	205804581
20010223	1201	味全	0	0	0	0	107283	21.2	0	0	0	0	107283	21.2	1029.92	0	0	1029.92	0	0	0	0	205804584
20010226	1201	味全	0	0	0	0	107283	21.2	0	0	0	0	107283	21.2	1099.66	0	0	1099.66	0	0	0	0	205804592
20010227	1201	味全	0	0	800	800	107283	21.2	0	0	800	0.16	108083	21.36	1115.75	0	8.32	1124.07	0	0	8536	8536	205804596
20010301	1201	味全	1	0	0	1	107284	21.2	0	0	800	0.16	108084	21.36	1083.57	0	8.08	1091.65	10	0	0	10	205804601
20010302	1201	味全	-2	1	-800	-801	107282	21.2	1	0	0	0	107283	21.2	1008.46	0.01	0	1008.47	-19	9	-7608	-7618	205804606
20010305	1201	味全	-1	0	0	-1	107281	21.2	1	0	0	0	107282	21.2	1008.45	0.01	0	1008.46	-9	0	0	-9	205804619
20010306	1201	味全	0	0	0	0	107281	21.2	1	0	0	0	107282	21.2	997.72	0.01	0	997.73	0	0	0	0	205804623
20010307	1201	味全	0	0	0	0	107281	21.2	1	0	0	0	107282	21.2	965.53	0.01	0	965.54	0	0	0	0	205804626
20010308	1201	味全	0	0	0	0	107281	21.2	1	0	0	0	107282	21.2	976.26	0.01	0	976.27	0	0	0	0	205804630
20010309	1201	味全	0	0	0	0	107281	21.2	1	0	0	0	107282	21.2	1040.63	0.01	0	1040.64	0	0	0	0	205804634
20010312	1201	味全	0	0	0	0	107281	21.2	1	0	0	0	107282	21.2	1040.63	0.01	0	1040.64	0	0	0	0	205804643
20010313	1201	味全	0	0	0	0	107281	21.2	1	0	0	0	107282	21.2	986.99	0.01	0	987	0	0	0	0	205804649
20010314	1201	味全	15	540	0	555	107296	21.2	541	0.11	0	0	107837	21.31	1051.51	5.3	0	1056.81	145	5243	0	5388	206373867
20010315	1201	味全	303	4417	0	4720	107599	21.26	4958	0.98	0	0	112557	22.24	1124.42	51.81	0	1176.23	3129	45627	0	48756	206373870
20010316	1201	味全	10	0	0	10	107609	21.26	4958	0.98	0	0	112567	22.24	1199.85	55.28	0	1255.13	111	0	0	111	206373873
20010319	1201	味全	20	5243	0	5263	107629	21.27	10201	2.02	0	0	117830	23.29	1280.79	121.39	0	1402.18	235	61657	0	61892	206373879
20010320	1201	味全	50	0	0	50	107679	21.28	10201	2.02	0	0	117880	23.3	1367.53	129.55	0	1497.08	616	0	0	616	206373881
20010321	1201	味全	20	0	857	877	107699	21.28	10201	2.02	857	0.17	118757	23.47	1453.94	137.71	11.57	1603.22	261	0	11218	11479	206373884
20010322	1201	味全	-5	0	-119	-124	107694	21.28	10201	2.02	738	0.15	118633	23.45	1491.57	141.28	10.22	1643.07	-69	0	-1658	-1727	206373886
20010323	1201	味全	0	0	0	0	107694	21.28	10201	2.02	738	0.15	118633	23.45	1502.34	142.3	10.3	1654.94	0	0	0	0	206373889
20010326	1201	味全	0	-1	0	-1	107694	21.28	10200	2.02	738	0.15	118632	23.45	1529.26	144.84	10.48	1684.58	0	-13	0	-13	206373895
20010327	1201	味全	0	0	0	0	107694	21.28	10200	2.02	738	0.15	118632	23.45	1426.95	135.15	9.78	1571.88	0	0	0	0	206373899
20010328	1201	味全	0	0	0	0	107694	21.28	10200	2.02	738	0.15	118632	23.45	1400.03	132.6	9.59	1542.22	0	0	0	0	206373901
20010329	1201	味全	0	-1	0	-1	107694	21.28	10199	2.02	738	0.15	118631	23.45	1410.8	133.61	9.67	1554.08	0	-13	0	-13	206373904
20010330	1201	味全	0	0	0	0	107694	21.28	10199	2.02	738	0.15	118631	23.45	1480.8	140.24	10.15	1631.19	0	0	0	0	206373907
20010402	1201	味全	0	0	0	0	107694	21.28	10199	2.02	738	0.15	118631	23.45	1378.49	130.55	9.45	1518.49	0	0	0	0	206373913
20010403	1201	味全	-1340	0	200	-1140	106354	21.01	10199	2.02	938	0.19	117491	23.22	1276.25	122.39	11.26	1409.9	-16160	0	2412	-13748	206373915
20010404	1201	味全	-1400	0	0	-1400	104954	20.74	10199	2.02	938	0.19	116091	22.95	1285.69	124.94	11.49	1422.12	-17038	0	0	-17038	206373918
20010406	1201	味全	-1350	0	0	-1350	103604	20.47	10199	2.02	938	0.19	114741	22.68	1274.34	125.45	11.54	1411.33	-16821	0	0	-16821	206373922
20010409	1201	味全	-1351	0	100	-1251	102253	20.2	10199	2.02	1038	0.21	113490	22.43	1216.82	121.37	12.35	1350.54	-16157	0	1196	-14961	206373928
20010410	1201	味全	-992	0	-200	-1192	101261	20.01	10199	2.02	838	0.17	112298	22.2	1124	113.21	9.3	1246.51	-11517	0	-2322	-13839	206373930
20010411	1201	味全	-1350	0	50	-1300	99911	19.74	10199	2.02	888	0.18	110998	21.94	1034.08	105.56	9.19	1148.83	-14242	0	527	-13715	206373933
20010412	1201	味全	-1000	400	0	-600	98911	19.54	10599	2.09	888	0.18	110398	21.81	1092.97	117.12	9.81	1219.9	-10940	4376	0	-6564	206373936
20010413	1201	味全	-1350	400	300	-650	97561	19.28	10999	2.17	1188	0.23	109748	21.68	1121.96	126.49	13.66	1262.11	-15619	4628	3471	-7520	206373939
20010416	1201	味全	-1170	0	0	-1170	96391	19.05	10999	2.17	1188	0.23	108578	21.45	1055.49	120.44	13.01	1188.94	-12916	0	0	-12916	206373945
20010417	1201	味全	-1350	300	0	-1050	95041	18.78	11299	2.23	1188	0.23	107528	21.24	1059.71	125.98	13.25	1198.94	-14863	3303	0	-11560	206373947
20010418	1201	味全	-1350	800	71	-479	93691	18.51	12099	2.39	1259	0.25	107049	21.15	1091.51	140.95	14.67	1247.13	-15579	9232	819	-5528	206373950
20010419	1201	味全	-1340	399	200	-741	92151	18.21	12498	2.47	1459	0.29	106108	20.97	1082.78	146.85	17.14	1246.77	-15973	4757	2384	-8832	206373953
20010420	1201	味全	-1350	400	278	-672	90801	17.94	12898	2.55	1737	0.34	105436	20.83	1080.54	153.49	20.67	1254.7	-16213	4804	3338	-8071	206373957
20010423	1201	味全	-1390	0	82	-1308	89411	17.67	12898	2.55	1819	0.36	104128	20.58	1081.88	156.07	22.01	1259.96	-16805	0	991	-15814	206373963
20010424	1201	味全	-1350	0	-50	-1400	88061	17.4	12898	2.55	1769	0.35	102728	20.3	1017.11	148.97	20.43	1186.51	-15849	0	-587	-16436	206373966
20010425	1201	味全	-1351	0	0	-1351	86710	17.13	12898	2.55	1769	0.35	101377	20.03	971.16	144.46	19.81	1135.43	-15252	0	0	-15252	206373969
20010426	1201	味全	-1350	0	0	-1350	85360	16.87	12898	2.55	1769	0.35	100027	19.77	938.97	141.88	19.46	1100.31	-14850	0	0	-14850	206373972
20010427	1201	味全	-1341	-2	0	-1343	84019	16.6	12896	2.55	1769	0.35	98684	19.5	941.02	144.44	19.81	1105.27	-15019	-22	0	-15041	206373974
20010430	1201	味全	0	0	0	0	84019	16.6	12896	2.55	1769	0.35	98684	19.5	920.01	141.21	19.37	1080.59	0	0	0	0	206373981
20010502	1201	味全	0	0	0	0	84019	16.6	12896	2.55	1769	0.35	98684	19.5	857	131.54	18.04	1006.58	0	0	0	0	206373985
20010503	1201	味全	10	0	-882	-872	84029	16.6	12896	2.55	887	0.18	97812	19.33	844.5	129.6	8.91	983.01	99	0	-8749	-8650	206373988
20010504	1201	味全	0	0	0	0	84029	16.6	12896	2.55	887	0.18	97812	19.33	785.68	120.58	8.29	914.55	0	0	0	0	206373992
20010507	1201	味全	8	0	0	8	84037	16.6	12896	2.55	887	0.18	97820	19.33	739.53	113.48	7.81	860.82	73	0	0	73	206373998
20010508	1201	味全	12	0	0	12	84049	16.61	12896	2.55	887	0.18	97832	19.34	706.02	108.33	7.45	821.8	101	0	0	101	206374001
20010509	1201	味全	0	0	0	0	84049	16.61	12896	2.55	887	0.18	97832	19.34	752.24	115.42	7.94	875.6	0	0	0	0	206374004
20010510	1201	味全	-395	0	0	-395	83654	16.53	12896	2.55	887	0.18	97437	19.26	773.8	119.29	8.2	901.29	-3673	0	0	-3673	206374007
20010511	1201	味全	-400	0	0	-400	83254	16.45	12896	2.55	887	0.18	97037	19.18	820.06	127.03	8.74	955.83	-3780	0	0	-3780	206374009
20010514	1201	味全	-200	0	0	-200	83054	16.41	12896	2.55	887	0.18	96837	19.14	789.02	122.51	8.43	919.96	-1900	0	0	-1900	206374016
20010515	1201	味全	-900	0	0	-900	82154	16.23	12896	2.55	887	0.18	95937	18.96	788.68	123.8	8.52	921	-8730	0	0	-8730	206374019
20010516	1201	味全	-747	0	0	-747	81407	16.09	12896	2.55	887	0.18	95190	18.82	773.37	122.51	8.43	904.31	-7260	0	0	-7260	206374022
20010517	1201	味全	-887	0	0	-887	80520	15.91	12896	2.55	887	0.18	94303	18.64	777.02	124.45	8.56	910.03	-8701	0	0	-8701	206374024
20010518	1201	味全	-450	0	0	-450	80070	15.82	12896	2.55	887	0.18	93853	18.55	752.66	121.22	8.34	882.22	-4266	0	0	-4266	206374027
20010521	1201	味全	-120	0	0	-120	79950	15.8	12896	2.55	887	0.18	93733	18.53	699.57	112.84	7.76	820.17	-1066	0	0	-1066	206374034
20010522	1201	味全	-100	0	0	-100	79850	15.78	12896	2.55	887	0.18	93633	18.51	702.68	113.48	7.81	823.97	-887	0	0	-887	206374038
20010523	1201	味全	-100	0	0	-100	79750	15.76	12896	2.55	887	0.18	93533	18.49	741.68	119.93	8.25	869.86	-907	0	0	-907	206374041
20010524	1201	味全	0	0	0	0	79750	15.76	12896	2.55	887	0.18	93533	18.49	729.72	118	8.12	855.84	0	0	0	0	206374044
20010525	1201	味全	0	0	0	0	79750	15.76	12896	2.55	887	0.18	93533	18.49	717.75	116.06	7.98	841.79	0	0	0	0	206374047
20010528	1201	味全	-60	0	0	-60	79690	15.75	12896	2.55	887	0.18	93473	18.48	717.21	116.06	7.98	841.25	-549	0	0	-549	206374053
20010529	1201	味全	0	0	0	0	79690	15.75	12896	2.55	887	0.18	93473	18.48	701.28	113.48	7.81	822.57	0	0	0	0	206374056
20010530	1201	味全	0	0	0	0	79690	15.75	12896	2.55	887	0.18	93473	18.48	693.31	112.2	7.72	813.23	0	0	0	0	206374060
20010531	1201	味全	-30	0	0	-30	79660	15.74	12896	2.55	887	0.18	93443	18.47	708.98	114.77	7.89	831.64	-269	0	0	-269	206374062
20010601	1201	味全	0	0	0	0	79660	15.74	12896	2.55	887	0.18	93443	18.47	708.98	114.77	7.89	831.64	0	0	0	0	206374066
20010604	1201	味全	0	0	0	0	79660	15.74	12896	2.55	887	0.18	93443	18.47	697.03	112.84	7.76	817.63	0	0	0	0	206374074
20010605	1201	味全	-140	0	0	-140	79520	15.71	12896	2.55	887	0.18	93303	18.44	703.76	114.13	7.85	825.74	-1234	0	0	-1234	206374077
20010606	1201	味全	0	0	0	0	79520	15.71	12896	2.55	887	0.18	93303	18.44	727.61	118	8.12	853.73	0	0	0	0	206374080
20010607	1201	味全	0	0	0	0	79520	15.71	12896	2.55	887	0.18	93303	18.44	703.76	114.13	7.85	825.74	0	0	0	0	206374083
20010608	1201	味全	0	0	0	0	79520	15.71	12896	2.55	887	0.18	93303	18.44	711.71	115.42	7.94	835.07	0	0	0	0	206374085
20010611	1201	味全	0	0	0	0	79520	15.71	12896	2.55	887	0.18	93303	18.44	707.73	114.77	7.89	830.39	0	0	0	0	206374092
20010612	1201	味全	0	0	0	0	79520	15.71	12896	2.55	887	0.18	93303	18.44	707.73	114.77	7.89	830.39	0	0	0	0	206374095
20010613	1201	味全	0	0	0	0	79520	15.71	12896	2.55	887	0.18	93303	18.44	703.76	114.13	7.85	825.74	0	0	0	0	206374097
20010614	1201	味全	0	0	0	0	79520	15.71	12896	2.55	887	0.18	93303	18.44	695.8	112.84	7.76	816.4	0	0	0	0	206374100
20010615	1201	味全	0	0	0	0	79520	15.71	12896	2.55	887	0.18	93303	18.44	711.71	115.42	7.94	835.07	0	0	0	0	206374103
20010618	1201	味全	10	0	0	10	79530	15.71	12896	2.55	887	0.18	93313	18.44	759.52	123.16	8.47	891.15	93	0	0	93	206374110
20010619	1201	味全	0	1390	12	1402	79530	15.71	14286	2.82	899	0.18	94715	18.71	771.45	138.57	8.72	918.74	0	13483	116	13599	206374113
20010620	1201	味全	-10	268	2	260	79520	15.71	14554	2.88	901	0.18	94975	18.77	763.4	139.72	8.65	911.77	-96	2588	19	2511	206374116
20010621	1201	味全	-29	30	0	1	79491	15.71	14584	2.88	901	0.18	94976	18.77	731.32	134.17	8.29	873.78	-273	283	0	10	206374124
20010622	1201	味全	-50	0	0	-50	79441	15.7	14584	2.88	901	0.18	94926	18.76	738.81	135.63	8.38	882.82	-465	0	0	-465	206374128
20010626	1201	味全	-55	0	0	-55	79441	15.7	14584	2.88	901	0.18	94926	18.76	742.78	136.36	8.42	887.56	-523	0	0	-523	206374138
20010627	1201	味全	10	0	0	10	79441	15.7	14584	2.88	901	0.18	94926	18.76	734.83	134.9	8.33	878.06	92	0	0	92	206374141
20010628	1201	味全	0	0	0	0	79441	15.7	14584	2.88	901	0.18	94926	18.76	703.06	129.07	7.97	840.1	0	0	0	0	206374144
20010629	1201	味全	-10	1135	0	1125	79441	15.7	15719	3.11	901	0.18	96061	18.99	722.92	143.04	8.2	874.16	-91	10351	0	10260	206374147
20010702	1201	味全	0	0	0	0	79441	15.7	15719	3.11	901	0.18	96061	18.99	722.92	143.04	8.2	874.16	0	0	0	0	206374154
20010703	1201	味全	-15	0	0	-15	79441	15.7	15719	3.11	901	0.18	96061	18.99	707.03	139.9	8.02	854.95	-135	0	0	-135	206374157
20010704	1201	味全	0	0	0	0	79441	15.7	15719	3.11	901	0.18	96061	18.99	707.03	139.9	8.02	854.95	0	0	0	0	206374160
20010705	1201	味全	0	0	0	0	79441	15.7	15719	3.11	901	0.18	96061	18.99	687.17	135.97	7.79	830.93	0	0	0	0	206374162
20010706	1201	味全	-14	12	0	-2	79441	15.7	15731	3.11	901	0.18	96073	18.99	714.97	141.58	8.11	864.66	-125	106	0	-19	206374165
20010709	1201	味全	-44	0	0	-44	79441	15.7	15731	3.11	901	0.18	96073	18.99	707.03	140.01	8.02	855.06	-393	0	0	-393	206374172
20010710	1201	味全	-10	820	0	810	79441	15.7	16551	3.27	901	0.18	96893	19.15	711	148.13	8.06	867.19	-91	7437	0	7346	206374175
20010711	1201	味全	74	-310	0	-236	79441	15.7	16241	3.21	901	0.18	96583	19.09	707.03	144.54	8.02	859.59	660	-2765	0	-2105	206374178
20010712	1201	味全	-20	0	0	-20	79441	15.7	16241	3.21	901	0.18	96583	19.09	707.03	144.54	8.02	859.59	-178	0	0	-178	206374180
20010713	1201	味全	-60	0	-6	-66	79441	15.7	16241	3.21	895	0.18	96577	19.09	707.03	144.54	7.97	859.54	-540	0	-54	-594	206374183
20010716	1201	味全	0	0	-2	-2	79441	15.7	16241	3.21	893	0.18	96575	19.09	663.34	135.61	7.46	806.41	0	0	-17	-17	206374193
20010717	1201	味全	0	0	-2	-2	79441	15.7	16241	3.21	891	0.18	96573	19.09	643.48	131.55	7.22	782.25	0	0	-16	-16	206374196
20010718	1201	味全	-15	0	-629	-644	79441	15.7	16241	3.21	262	0.05	95944	18.96	599.78	122.62	1.98	724.38	-115	0	-4862	-4977	206374200
20010719	1201	味全	-72	0	-111	-183	79441	15.7	16241	3.21	151	0.03	95833	18.94	583.9	119.37	1.11	704.38	-516	0	-796	-1312	206374203
20010720	1201	味全	0	0	0	0	79441	15.7	16241	3.21	151	0.03	95833	18.94	583.9	119.37	1.11	704.38	0	0	0	0	206374206
20010723	1201	味全	0	0	0	0	79441	15.7	16241	3.21	151	0.03	95833	18.94	564.03	115.31	1.07	680.41	0	0	0	0	206374214
20010724	1201	味全	0	0	0	0	79441	15.7	16241	3.21	151	0.03	95833	18.94	532.26	108.81	1.01	642.08	0	0	0	0	206374218
20010725	1201	味全	0	0	0	0	79441	15.7	16241	3.21	151	0.03	95833	18.94	568.01	116.12	1.08	685.21	0	0	0	0	206374221
20010726	1201	味全	-4	800	-2	794	79441	15.7	17041	3.37	149	0.03	96631	19.1	587.87	126.1	1.1	715.07	-29	5872	-14	5829	206374225
20010727	1201	味全	-4	0	0	-4	79441	15.7	17041	3.37	149	0.03	96631	19.1	591.84	126.96	1.11	719.91	-29	0	0	-29	206374229
20010731	1201	味全	0	0	0	0	79441	15.7	17041	3.37	149	0.03	96631	19.1	575.95	123.55	1.08	700.58	0	0	0	0	206374241
20010801	1201	味全	-4	0	0	-4	79441	15.7	17041	3.37	149	0.03	96631	19.1	568.01	121.84	1.07	690.92	-29	0	0	-29	206374243
20010802	1201	味全	-4	0	0	-4	79441	15.7	17041	3.37	149	0.03	96631	19.1	568.01	121.84	1.07	690.92	-28	0	0	-28	206374246
20010803	1201	味全	0	0	0	0	79441	15.7	17041	3.37	149	0.03	96631	19.1	583.9	125.25	1.1	710.25	0	0	0	0	206374249
20010806	1201	味全	0	0	0	0	79441	15.7	17041	3.37	149	0.03	96631	19.1	579.92	124.4	1.09	705.41	0	0	0	0	206374257
