年月	股票代號	股票名稱	單月合併營收(千)	去年單月合併營收(千)	單月合併營收年成長(%)	單月合併營收月變動(%)	累計合併營收(千)	去年累計合併營收(千)	累計合併營收成長(%)	近三月合併營收(千)	近三月合併營收年成長(%)	近三月合併營收月變動(%)	近12月累計合併營收(千)	近12月營收合併成長(%)	預估年營收(千)	累計營收達成率(%)	單月營收(千)	去年單月營收(千)	單月營收年成長(%)	單月營收月變動(%)	累計營收(千)	去年累計營收(千)	累計營收成長(%)	近三月營收(千)	近三月營收年成長(%)	近三月營收月變動(%)	近12月累計營收(千)	近12月營收成長(%)	淨值(千)	資金貸放餘額(千)	資金貸放佔淨值比(%)	背書保證單月金額(千)	背書保證累計餘額(千)	背書保証累計餘額佔淨值比(%)	重要子公司本月營業收入淨額(千)	重要子公司本年累計營收淨額(千)	公告日	RTIME
200001	2330	台積電															9326799	3845183	142.56	8.19	9326799	3845183	142.56	25806332	129.1	26.92	77967804	60.33	120769840			-47328	2087532	1.73			20000210	
200002	2330	台積電															9018575	3716786	142.64	-3.3	18345374	7561969	142.6	26966055	144.68	27.32	83269593	76.94	120769840			3740	2091272	1.73			20000310	
200003	2330	台積電															9932745	4938585	101.13	10.14	28278119	12500554	126.21	28278119	126.21	19.36	88263753	87.81	130467989			17952	2073320	1.59			20000410	
200004	2330	台積電															8862912	5238354	69.19	-10.77	37141031	17738908	109.38	27814232	100.19	7.78	91888311	92.59	130467989			8704	2082024	1.6			20000510	
200005	2330	台積電															10933630	5619069	94.58	23.36	48074661	23357977	105.82	29729287	88.21	10.25	97202872	97.27	130467989			13260	2095284	1.61			20000610	
200006	2330	台積電															13213235	5729997	130.6	20.85	61287896	29087974	110.7	33009777	99	16.73	104686110	101.38	206225002			-1292	2093992	1.02			20000710	
200007	2330	台積電															15018663	6585547	128.05	13.66	76306559	35673521	113.9	39165528	118.38	40.81	113119226	103.67	206225002			18564	2112556	1.02			20000810	
200008	2330	台積電															16076732	7012442	129.26	7.05	92383291	42685963	116.43	44308630	129.25	49.04	122183516	107.97	206225002			204	2112760	1.02			20000910	
200009	2330	台積電													164868568	65.98	16395843	6109156	168.38	1.98	108779134	48795119	122.93	47491238	140.98	43.87	132470203	119.22	226527929			16864	2129624	0.94			20001010	
200010	2330	台積電													164868568	76.57	17461567	7211536	142.13	6.5	126240701	56006655	125.4	49934142	145.58	27.5	142720234	125.02	226527929			70652	2200276	0.97			20001110	
200011	2330	台積電													164868568	87.59	18172601	7858852	131.24	4.07	144413302	63865507	126.12	52030011	145.66	17.43	153033983	127.31	226527929			1368692	3568968	1.58			20001210	
200012	2330	台積電					166197604	73066521	127.46					127.46	164868568	98.69	18302756	8620681	112.31	0.72	162716058	72486188	124.48	53936924	127.67	13.57	162716058	124.48	261753699			6619364	10188332	3.89			20010110	
200101	2330	台積電															16156845	9326799	73.23	-11.72	16156845	9326799	73.23	52632202	103.95	5.4	169546104	117.46	261753699			-210056	9978276	3.81			20010210	
200102	2330	台積電															11614224	9018575	28.78	-28.12	27771069	18345374	51.38	46073825	70.86	-11.45	172141753	106.73	261753699			-16632	9961644	3.81			20010310	
200103	2330	台積電															11749677	9932745	18.29	1.17	39520746	28278119	39.76	39520746	39.76	-26.73	173958685	97.09	270019214			152152	10113796	3.75			20010410	
200104	2330	台積電															9231717	8862912	4.16	-21.43	48752463	37141031	31.26	32595618	17.19	-38.07	174327490	89.72	270019214			24948	10138744	3.75			20010510	
200105	2330	台積電													149038964	38.45	8550678	10933630	-21.79	-7.38	57303141	48074661	19.2	29532072	-0.66	-35.9	171944538	76.89	270019214			322476	10461220	3.87			20010610	
200106	2330	台積電													149038964	44.16	8515354	13213235	-35.55	-0.41	65818495	61287896	7.39	26297749	-20.33	-33.46	167246657	59.76	270984734			144760	10605980	3.91			20010710	
200107	2330	台積電													149038964	49.94	8604351	15018663	-42.71	1.05	74422846	76306559	-2.47	25670383	-34.46	-21.25	160832345	42.18	270984734			99792	10705772	3.95			20010810	
200108	2330	台積電													149038964	55.99	9027834	16076732	-43.85	4.92	83450680	92383291	-9.67	26147539	-40.99	-11.46	153783447	25.86	270984734			-63140	10642632	3.93			20010910	
200109	2330	台積電													121893177	76.1	9307707	16395843	-43.23	3.1	92758387	108779134	-14.73	26939892	-43.27	2.44	146695311	10.74	272166614			14163550	24806182	9.11			20011010	
200110	2330	台積電													121893177	84.58	10337550	17461568	-40.8	11.06	103095937	126240701	-18.33	28673091	-42.58	11.7	139571294	-2.21	272166614			-17232	24788950	9.11			20011110	
200111	2330	台積電													121893177	93.65	11058792	18172600	-39.15	6.98	114154729	144413302	-20.95	30704049	-40.99	17.43	132457485	-13.45	272166614			-42362	24746588	9.09			20011210	
200112	2330	台積電					125884892	166197604	-24.26					-24.26	125562194	100.26	11733275	18302756	-35.89	6.1	125888004	162716058	-22.63	33129617	-38.58	22.98	125888004	-22.63	277190075			1432664	26179252	9.44			20020110	
200201	2330	台積電															12044713	16156845	-25.45	2.65	12044713	16156845	-25.45	34836780	-33.81	21.5	121775872	-28.18	277190075			-14212	26165040	9.44			20020210	
200202	2330	台積電															11468227	11614224	-1.26	-4.79	23512940	27771069	-15.33	35246215	-23.5	14.79	121629875	-29.34	277190075			98736	26263776	9.48			20020310	
200203	2330	台積電															12276775	11749677	4.49	7.05	35789715	39520746	-9.44	35789715	-9.44	8.03	122156973	-29.78	281708675			-83776	26180000	9.29			20020410	
200204	2330	台積電															13366231	9231717	44.79	8.87	49155946	48752463	0.83	37111233	13.85	6.53	126291487	-27.56	281708675			-211684	25968316	9.22			20020510	
200205	2330	台積電															15200909	8550678	77.77	13.73	64356855	57303141	12.31	40843915	38.3	15.88	132941718	-22.68	281708675			-427856	25540460	9.07			20020610	
200206	2330	台積電															15615315	8515354	83.38	2.73	79972170	65818495	21.5	44182455	68.01	23.45	140041679	-16.27	289164414			-2721020	22819440	7.89			20020710	
200207	2330	台積電															13536263	8604351	57.32	-13.31	93508433	74422846	25.64	44352487	72.78	19.51	144973591	-9.86	289164414			136000	22955440	7.94			20020810	
200208	2330	台積電															13544132	9027834	50.03	0.06	107052565	83450680	28.28	42695710	63.29	4.53	149489889	-2.79	289164414			332520	23287960	8.05			20020910	
200209	2330	台積電															12754622	9307707	37.03	-5.83	119807187	92758387	29.16	39835017	47.87	-9.84	152936804	4.25	293607329			456280	23744240	8.09			20021010	
200210	2330	台積電															15230876	10337550	47.34	19.41	135038063	103095937	30.98	41529630	44.84	-6.36	157830130	13.08	293607329			-106760	23637480	8.05			20021110	
200211	2330	台積電															14582366	11058792	31.86	-4.26	149620429	114154729	31.07	42567864	38.64	-0.3	161353704	21.82	293607329			34680	23672160	8.06			20021210	
200212	2330	台積電					162301208	125884892	28.93					28.93			11277901	11733275	-3.88	-22.66	160898330	125888004	27.81	41091143	24.03	3.15	160898330	27.81	295853207			-40120	23632040	7.99			20030110	
200301	2330	台積電															13128841	12044713	9	16.41	13128841	12044713	9	38989108	11.92	-6.12	161982458	33.02	295853207			-34000	23598040	7.98			20030210	
200302	2330	台積電															12345096	11468227	7.65	-5.97	25473937	23512940	8.34	36751838	4.27	-13.66	162859327	33.9	295853207			29240	23627280	7.99			20030310	
200303	2330	台積電															13851376	12276775	12.83	12.2	39325313	35789715	9.88	39325313	9.88	-4.3	164433928	34.61	299884466			2720	23630000	7.88			20030410	
200304	2330	台積電															15264311	13366231	14.2	10.2	54589624	49155946	11.05	41460783	11.72	6.34	166332008	31.7	299884466			67320	23697320	7.9			20030510	
200305	2330	台積電															16811729	15200909	10.6	10.14	71401353	64356855	10.95	45927416	12.45	24.97	167942828	26.33	299884466			-93160	23604160	7.87			20030610	
200306	2330	台積電															17846112	15615315	14.29	6.15	89247465	79972170	11.6	49922152	12.99	26.95	170173625	21.52	298261570			-68000	23536160	7.89			20030710	
200307	2330	台積電															17648605	13536263	30.38	-1.11	106896070	93508433	14.32	52306446	17.93	26.16	174285967	20.22	298261570			-140760	23395400	7.84			20030810	
200308	2330	台積電															18317430	13544132	35.24	3.79	125213500	107052565	16.96	53812147	26.04	17.17	179059265	19.78	298261570			-159800	23235600	7.79			20030910	
200309	2330	台積電															18911236	12754622	48.27	3.24	144124736	119807187	20.3	54877271	37.76	9.93	185215879	21.11	312971421			-265200	22970400	7.34			20031010	
200310	2330	台積電															20303764	15230876	33.31	7.36	164428500	135038063	21.76	57532430	38.53	9.99	190288767	20.57	312971421			136000	23106400	7.38			20031110	
200311	2330	台積電															18510405	14582366	26.94	-8.83	182938905	149620429	22.27	57725405	35.61	7.27	194216806	20.37	312971421			155040	23261440	7.43			20031210	
200312	2330	台積電					202996812	162301208	25.07					25.07			18965436	11277901	68.16	2.46	201904341	160898330	25.49	57779605	40.61	5.29	201904341	25.49	329214309			-4913320	18348120	5.57			20040110	
200401	2330	台積電															19155894	13128841	45.91	1	19155894	13128841	45.91	56631735	45.25	-1.57	207931394	28.37	329214309			-317520	18030600	5.48	10665747	10665747	20040210	
200402	2330	台積電															18385262	12345096	48.93	-4.02	37541156	25473937	47.37	56506592	53.75	-2.11	213971560	31.38	329214309			-13500	18017100	5.47	10191617	20857364	20040310	
200403	2330	台積電															19972049	13851376	44.19	8.63	57513205	39325313	46.25	57513205	46.25	-0.46	220092233	33.85	346586042			-186300	17830800	5.14	11086905	31944269	20040410	
200404	2330	台積電															20630606	15264311	35.16	3.3	78143811	54589624	43.15	58987917	42.27	4.16	225458528	35.55	346586042			188460	18019260	5.2	12421843	44366112	20040510	
200405	2330	台積電															21719561	16811728	29.19	5.28	99863372	71401353	39.86	62322216	35.7	10.29	230366360	37.17	346586042			10800	18030060	5.2	12162236	56528348	20040610	
200406	2330	台積電															22519074	17846112	26.18	3.68	122382446	89247465	37.13	64869241	29.94	12.79	235039322	38.12	351073754			208440	18238500	5.2	12328598	68856946	20040710	
200407	2330	台積電															23147633	17648604	31.16	2.79	145530079	106896070	36.14	67386268	28.83	14.24	240538350	38.01	351073754			194940	18433440	5.25	13811594	82668540	20040810	
200408	2330	台積電															23413876	18317430	27.82	1.15	168943955	125213500	34.92	69080583	28.37	10.84	245634796	37.18	351073754			-44820	18388620	5.24	13337734	96006274	20040910	
200409	2330	台積電															23173529	18911236	22.54	-1.03	192117484	144124736	33.3	69735038	27.07	7.5	249897089	34.92	379262790			-37260	18351360	4.84	12722888	108729162	20041010	
200410	2330	台積電															22969780	20303764	13.13	-0.88	215087264	164428500	30.81	69557185	20.9	3.22	252563105	32.73	379262790			-296460	18054900	4.76	12994498	121723660	20041110	
200411	2330	台積電															20985825	18510404	13.37	-8.64	236073089	182938905	29.04	67129134	16.29	-2.82	255038525	31.32	379262790			-664200	17390700	4.59	11329956	133053616	20041210	
200412	2330	台積電					257212618	202996812	26.71					26.71			19919339	18965436	5.03	-5.08	255992428	201904341	26.79	63874944	10.55	-8.4	255992428	26.79	398965299			-14199000	3191700	0.8	10906167	143959783	20050110	
200501	2330	台積電															20842779	19155894	8.81	4.64	20842779	19155894	8.81	61747943	9.03	-11.23	257679313	23.93	398965299			-12700	3179000	0.8	12160589	12160589	20050210	
200502	2330	台積電															17200047	18385262	-6.45	-17.48	38042826	37541156	1.34	57962165	2.58	-13.66	256494098	19.87	398965299			-61500	3117500	0.78	10058663	22219252	20050310	
200503	2330	台積電															17610390	19972048	-11.82	2.39	55653216	57513205	-3.23	55653216	-3.23	-12.87	254132439	15.47	415353480			35500	3153000	0.76	9734514	31953766	20050410	
