年月	股票代號	股票名稱	單月合併營收(千)	去年單月合併營收(千)	單月合併營收年成長(%)	單月合併營收月變動(%)	累計合併營收(千)	去年累計合併營收(千)	累計合併營收成長(%)	近三月合併營收(千)	近三月合併營收年成長(%)	近三月合併營收月變動(%)	近12月累計合併營收(千)	近12月營收合併成長(%)	預估年營收(千)	累計營收達成率(%)	單月營收(千)	去年單月營收(千)	單月營收年成長(%)	單月營收月變動(%)	累計營收(千)	去年累計營收(千)	累計營收成長(%)	近三月營收(千)	近三月營收年成長(%)	近三月營收月變動(%)	近12月累計營收(千)	近12月營收成長(%)	淨值(千)	資金貸放餘額(千)	資金貸放佔淨值比(%)	背書保證單月金額(千)	背書保證累計餘額(千)	背書保証累計餘額佔淨值比(%)	重要子公司本月營業收入淨額(千)	重要子公司本年累計營收淨額(千)	公告日	RTIME
200001	2317	鴻海															4502439	3129331	43.88	-19.51	4502439	3129331	43.88	15130331	22.95	-1.12	54545172	38.7	34771630								20000210	
200002	2317	鴻海															3722225	2855588	30.35	-17.33	8224664	5984919	37.42	13818203	28.12	-10.76	55411809	38.94	34771630								20000310	
200003	2317	鴻海															5950970	3708157	60.48	59.88	14175634	9693076	46.24	14175634	46.24	-12.4	57654622	40.5	36149699								20000410	
200004	2317	鴻海															5285382	3415870	54.73	-11.18	19461016	13108946	48.46	14958577	49.89	-1.14	59524134	42.81	36149699								20000510	
200005	2317	鴻海															5971729	4182347	42.78	12.99	25432745	17291293	47.08	17208081	52.2	24.53	61313516	42.34	36149699								20000610	
200006	2317	鴻海															7033144	4944098	42.25	17.77	32465889	22235391	46.01	18290255	45.83	29.03	63402562	40.43	37108596								20000710	
200007	2317	鴻海															6752489	5007616	34.84	-3.99	39218378	27243007	43.96	19757362	39.79	32.08	65147435	38.2	37108596								20000810	
200008	2317	鴻海															8746603	4851568	80.28	29.53	47964981	32094575	49.45	22532236	52.21	30.94	69042470	41.72	37108596								20000910	
200009	2317	鴻海															10945267	4895598	123.57	25.14	58910248	36990173	59.26	26444359	79.23	44.58	75092139	49.66	40420705								20001010	
200010	2317	鴻海															11333666	5553999	104.06	3.55	70243914	42544172	65.11	31025536	102.77	57.03	80871806	56.36	40420705								20001110	
200011	2317	鴻海															11038364	5034353	119.26	-2.61	81282278	47578525	70.84	33317297	115.17	47.87	86875817	65.86	40420705								20001210	
200012	2317	鴻海					97824041	58085952	68.41					68.41			10761491	5593539	92.39	-2.51	92043769	53172064	73.11	33133521	104.76	25.3	92043769	73.11	44250896								20010110	
200101	2317	鴻海															8204960	4502439	82.23	-23.76	8204960	4502439	82.23	30004815	98.31	-3.29	95746290	75.54	44250896								20010210	
200102	2317	鴻海															10078806	3722225	170.77	22.84	18283766	8224664	122.3	29045257	110.2	-12.82	102102871	84.26	44250896								20010310	
200103	2317	鴻海															12677561	5950970	113.03	25.78	30961327	14175634	118.41	30961327	118.41	-6.56	108829462	88.76	47162086								20010410	
200104	2317	鴻海															10201880	5285382	93.02	-19.53	41163207	19461016	111.52	32958247	120.33	9.84	113745960	91.09	47162086								20010510	
200105	2317	鴻海															9423168	5971729	57.8	-7.63	50586375	25432745	98.9	32302609	87.72	11.21	117197399	91.14	47162086								20010610	
200106	2317	鴻海															10974949	7033144	56.05	16.47	61561324	32465889	89.62	30599997	67.3	-1.17	121139204	91.06	47683479								20010710	
200107	2317	鴻海															11707112	6752489	73.37	6.67	73268436	39218378	86.82	32105229	62.5	-2.59	126093827	93.55	47683479								20010810	
200108	2317	鴻海															12602666	8746603	44.09	7.65	85871102	47964981	79.03	35284727	56.6	9.23	129949890	88.22	47683479								20010910	
200109	2317	鴻海															13820628	10945267	26.27	9.66	99691730	58910248	69.23	38130406	44.19	24.61	132825251	76.88	51491297								20011010	
200110	2317	鴻海															14478464	11333666	27.75	4.76	114170194	70243914	62.53	40901758	31.83	27.4	135970049	68.13	51491297			-862500	2587500	5.03			20011110	
200111	2317	鴻海															14562469	11038364	31.93	0.58	128732663	81282278	58.38	42861561	28.65	21.47	139494154	60.57	51491297			0	2587500	5.03			20011210	
200112	2317	鴻海					153893884	97824041	57.32					57.32			15528979	10761491	44.3	6.64	144261642	92043769	56.73	44569912	34.52	16.89	144261642	56.73	55621945			0	2587500	4.65			20020110	
200201	2317	鴻海															13251507	8204960	61.51	-14.67	13251507	8204960	61.51	43342955	44.45	5.97	149308189	55.94	55621945			-862500	1725000	3.1			20020210	
200202	2317	鴻海															13082610	10078806	29.8	-1.27	26334117	18283766	44.03	41863096	44.13	-2.33	152311993	49.18	55621945			0	1725000	3.1			20020310	
200203	2317	鴻海															16429458	12677561	29.59	25.58	42763575	30961327	38.12	42763575	38.12	-4.05	156063890	43.4	59469677			0	1725000	2.9			20020410	
200204	2317	鴻海															17450323	10201880	71.05	6.21	60213898	41163207	46.28	46962391	42.49	8.35	163312333	43.58	59469677			-862500	862500	1.45			20020510	
200205	2317	鴻海															18446897	9423168	95.76	5.71	78660795	50586375	55.5	52326678	61.99	24.99	172336062	47.05	59469677			0	862500	1.45			20020610	
200206	2317	鴻海															21676323	10974949	97.51	17.51	100337118	61561324	62.99	57573543	88.15	34.63	183037436	51.1	59937987			0	862500	1.44			20020710	
200207	2317	鴻海															21436878	11707112	83.11	-1.1	121773996	73268436	66.2	61560098	91.74	31.08	192767202	52.88	59937987			-862500					20020810	
200208	2317	鴻海															20010930	12602666	58.78	-6.65	141784926	85871102	65.11	63124131	78.9	20.63	200175466	54.04	59937987								20020910	
200209	2317	鴻海															22619608	13820628	63.67	13.04	164404534	99691730	64.91	64067416	68.02	11.28	208974446	57.33	65113022								20021010	
200210	2317	鴻海															23489283	14478464	62.24	3.84	187893817	114170194	64.57	66119821	61.66	7.41	217985265	60.32	65113022								20021110	
200211	2317	鴻海															28093468	14562469	92.92	19.6	215987285	128732663	67.78	74202359	73.12	17.55	231516264	65.97	65113022								20021210	
200212	2317	鴻海					257765852	153893884	67.5					67.5			29015099	15528979	86.84	3.28	245002384	144261642	69.83	80597850	80.83	25.8	245002384	69.83	69627503								20030110	
200301	2317	鴻海															21617963	13251507	63.14	-25.49	21617963	13251507	63.14	78726530	81.64	19.07	253368840	69.7	69627503								20030210	
200302	2317	鴻海															16821426	13082610	28.58	-22.19	38439389	26334117	45.97	67454488	61.13	-9.09	257107656	68.8	69627503								20030310	
200303	2317	鴻海															22115918	16429458	34.61	31.47	60555307	42763575	41.6	60555307	41.6	-24.87	262794116	68.39	74594412								20030410	
200304	2317	鴻海															20523532	17450324	17.61	-7.2	81078839	60213898	34.65	59460876	26.61	-24.47	265867325	62.8	74594412								20030510	
